"","Recovery.Phase","Trial","Genotype","Treatment","Coral.ID","Replicate","alpha","ETRm","Fv.Fm","Y.NPQ.","Days.Post.Experiment"
"69","1",8,60,"High Temp High NTU","60-8",1,0.23,117.889,0.673,0.321,28
"70","1",8,50,"Control","50-10",1,0.209,138.415,0.704,0.156,28
"71","1",8,50,"High NTU","50-8",1,0.237,118.417,0.699,0.214,28
"72","1",8,50,"High Temp","50-9",1,0.214,113.399,0.703,0.178,28
"73","1",7,101,"High Temp","101-13",1,0.209,90.693,0.702,0.223,28
"74","1",7,101,"High Temp High NTU","101-12",1,0.201,88.51,0.7,0.224,28
"75","1",7,101,"Control","101-15",1,0.251,92.213,0.706,0.184,28
"76","1",7,101,"High NTU","101-6",1,0.262,89.842,0.703,0.203,28
"77","1",7,97,"High Temp","97-6",1,0.246,103.23,0.655,0.252,28
"78","1",7,97,"High Temp High NTU","97-4",1,0.242,91.446,0.677,0.251,28
"79","1",7,97,"Control","97-9",1,0.245,79.446,0.669,0.281,28
"80","1",7,97,"High NTU","97-8",1,0.189,90.36,0.687,0.271,28
"81","1",10,67,"High Temp High NTU","67-14",1,0.208,55.935,0.712,0.262,28
"82","1",10,67,"High NTU","67-15",1,0.18,54.921,0.646,0.23,28
"83","1",10,67,"High Temp","67-18",1,0.183,45.644,0.678,0.287,28
"84","1",10,67,"Control","67-11",1,0.198,54.119,0.703,0.225,28
"85","1",10,80,"High NTU","80-22",1,0.212,74.176,0.683,0.324,28
"86","1",10,80,"High Temp High NTU","80-13",1,0.223,78.692,0.674,0.345,28
"87","1",10,80,"High Temp","80-16",1,0.17,59.062,0.697,0.329,28
"88","1",10,80,"Control","80-18",1,0.217,68.563,0.67,0.345,28
"89","1",6,90,"Control","90-7",1,0.248,143.867,0.659,0.332,28
"90","1",6,90,"High Temp","90-6",1,0.241,137.341,0.65,0.363,28
"91","1",6,90,"High Temp High NTU","90-4",1,0.243,133.927,0.65,0.347,28
"92","1",6,90,"High NTU","90-3",1,0.231,135.333,0.637,0.36,28
"93","1",6,84,"Control","84-5",1,0.271,109.371,0.687,0.2,28
"94","1",6,84,"High Temp High NTU","84-1",1,0.225,101.863,0.698,0.166,28
"95","1",6,84,"High NTU","84-8",1,0.27,106.449,0.687,0.188,28
"96","1",6,84,"High Temp","84-9",1,0.259,80.309,0.713,0.159,28
"97","2",6,84,"Control","84-5",1,0.269,87.995,0.7,0.194,49
"98","2",6,90,"High NTU","90-3",1,0.228,97.628,0.648,0.34,49
"99","2",6,90,"High Temp High NTU","90-4",1,0.227,95.906,0.649,0.342,49
"100","2",6,90,"High Temp","90-6",1,0.23,95.422,0.653,0.347,49
"101","2",6,90,"Control","90-7",1,0.23,92.017,0.666,0.334,49
"102","2",6,84,"High Temp","84-9",1,0.244,62.982,0.702,0.191,49
"103","2",6,84,"High Temp High NTU","84-1",1,0.243,79.746,0.68,0.203,49
"104","2",6,84,"High NTU","84-8",1,0.243,77.747,0.669,0.202,49
"105","2",8,50,"High Temp High NTU","50-7",1,0.25,110.201,0.672,0.179,49
"106","2",8,50,"High NTU","50-8",1,0.256,133.294,0.701,0.209,49
"107","2",8,50,"High Temp","50-9",1,0.278,112.558,0.708,0.164,49
"108","2",8,50,"Control","50-10",1,0.262,109.891,0.733,0.159,49
"109","2",8,60,"High NTU","60-7",1,0.233,129.275,0.674,0.296,49
"110","2",8,60,"High Temp High NTU","60-8",1,0.232,116.908,0.655,0.305,49
"111","2",8,60,"High Temp","60-9",1,0.289,162.423,0.692,0.236,49
"112","2",8,60,"Control","60-1",1,0.235,125.302,0.66,0.306,49
"113","2",7,101,"High NTU","101-6",1,0.197,72.043,0.665,0.33,49
"114","2",7,101,"High Temp","101-13",1,0.256,75.588,0.681,0.305,49
"115","2",7,101,"High Temp High NTU","101-12",1,0.253,72.429,0.68,0.331,49
"116","2",10,80,"High Temp","80-16",1,0.131,25.366,0.675,0.456,49
"117","2",10,80,"High NTU","80-22",1,0.13,20.739,0.677,0.484,49
"118","2",10,80,"Control","80-18",1,0.174,28.533,0.58,0.563,49
"119","2",10,80,"High Temp High NTU","80-13",1,0.124,27.915,0.612,0.582,49
"120","2",10,67,"Control","67-11",1,0.213,12.046,0.655,0.398,49
"121","2",7,97,"High NTU","97-8",1,0.269,82.697,0.707,0.332,49
"122","2",7,97,"High Temp","97-6",1,0.281,84.117,0.709,0.314,49
"123","2",7,97,"High Temp High NTU","97-4",1,0.278,88.129,0.704,0.308,49
"124","2",7,97,"Control","97-9",1,0.272,78.49,0.701,0.337,49
"125","2",7,101,"Control","101-15",1,0.257,72.967,0.693,0.308,49
"126","2",10,67,"High Temp","67-18",1,0.205,11.781,0.658,0.366,49
"127","2",10,67,"High Temp High NTU","67-14",1,0.187,15.339,0.631,0.484,49
"128","2",10,67,"High NTU","67-15",1,0.167,15.887,0.611,0.472,49
"129","3",8,50,"Control","50-10",1,0.241,61.636,0.712,0.17,70
"130","3",8,50,"High Temp High NTU","50-7",1,0.181,64.132,0.691,0.206,70
"131","3",8,50,"High NTU","50-8",1,0.176,61.592,0.712,0.243,70
"132","3",8,50,"High Temp","50-9",1,0.24,59.588,0.698,0.196,70
"133","3",8,60,"High Temp","60-9",1,0.148,65.398,0.622,0.27,70
"134","3",8,60,"Control","60-1",1,0.174,56.957,0.608,0.449,70
"135","3",8,60,"High NTU","60-7",1,0.144,61.571,0.652,0.446,70
"136","3",8,60,"High Temp High NTU","60-8",1,0.2,58.1,0.636,0.393,70
"137","3",6,90,"High Temp High NTU","90-4",1,0.163,71.606,0.637,0.413,70
"138","3",6,90,"High NTU","90-3",1,0.212,72.34,0.652,0.424,70
"139","3",6,90,"High Temp","90-6",1,0.166,68.425,0.646,0.385,70
"140","3",7,97,"High Temp","97-6",1,0.174,57.218,0.617,0.315,70
"141","3",6,84,"High NTU","84-8",1,0.256,74.746,0.677,0.224,70
"142","3",6,84,"Control","84-5",1,0.206,71.365,0.697,0.223,70
"143","3",7,97,"High Temp High NTU","97-4",1,0.228,59.133,0.624,0.33,70
"144","3",6,84,"High Temp High NTU","84-1",1,0.205,72.432,0.69,0.209,70
"145","3",6,90,"Control","90-7",1,0.156,73.819,0.642,0.41,70
"146","3",7,101,"Control","101-15",1,0.248,54.215,0.663,0.272,70
"147","3",6,84,"High Temp","84-9",1,0.257,55.703,0.714,0.236,70
"148","3",7,101,"High NTU","101-6",1,0.218,54.914,0.611,0.31,70
"149","3",7,101,"High Temp High NTU","101-12",1,0.237,56.116,0.654,0.287,70
"150","3",7,97,"High NTU","97-8",1,0.211,61.789,0.626,0.321,70
"151","3",7,97,"Control","97-9",1,0.175,57.164,0.63,0.323,70
"152","3",7,101,"High Temp","101-13",1,0.244,60.302,0.656,0.27,70
"153","4",7,101,"High NTU","101-6",1,0.07,20.298,0.357,0.328,91
"154","4",7,97,"Control","97-9",1,0.051,15.321,0.47,0.321,91
"155","4",7,101,"Control","101-15",1,0.057,14.126,0.414,0.376,91
"156","4",7,101,"High Temp High NTU","101-12",1,0.083,14.444,0.477,0.404,91
"157","4",6,84,"High Temp High NTU","84-1",1,0.144,25.836,0.62,0.278,91
"158","4",7,97,"High Temp","97-6",1,0.052,19.108,0.463,0.354,91
"159","4",6,84,"High Temp","84-9",1,0.159,16.17,0.635,0.341,91
"160","4",7,97,"High Temp High NTU","97-4",1,0.06,21.289,0.501,0.419,91
"161","4",7,97,"High NTU","97-8",1,0.061,19.199,0.502,0.402,91
"162","4",6,84,"Control","84-5",1,0.145,24.216,0.624,0.331,91
"163","4",7,101,"High Temp","101-13",1,0.077,14.183,0.487,0.401,91
"164","4",8,60,"High Temp","60-9",1,0.126,27.036,0.618,0.499,91
"165","4",8,50,"High Temp High NTU","50-7",1,0.174,24.332,0.683,0.376,91
"166","4",8,50,"High Temp","50-9",1,0.193,22.598,0.661,0.304,91
"167","4",8,50,"High NTU","50-8",1,0.177,24.038,0.681,0.379,91
"168","4",8,50,"Control","50-10",1,0.181,24.558,0.655,0.333,91
"169","4",6,84,"High NTU","84-8",1,0.146,18.885,0.554,0.333,91
"170","4",6,90,"Control","90-7",1,0.142,30.382,0.646,0.456,91
"171","4",6,90,"High Temp High NTU","90-4",1,0.183,24.409,0.658,0.44,91
"172","4",6,90,"High Temp","90-6",1,0.176,25.051,0.637,0.469,91
"173","4",6,90,"High NTU","90-3",1,0.174,25.242,0.636,0.436,91
"174","4",8,60,"High NTU","60-7",1,0.11,27.065,0.603,0.516,91
"175","4",8,60,"Control","60-1",1,0.1,22.618,0.565,0.491,91
