Trial,Recovery Phase,Genotype,Treatment,Coral ID,Replicate,alpha,ETRm,Fv/Fm,Y(NPQ)
3,0,101,0,101-14,2,0.229,118.89,0.644,0.258
3,0,101,50,101-10,1,0.258,101.01,0.671,0.177
3,0,101,50,101-10,2,0.247,122.461,0.668,0.183
3,0,101,15,101-11,1,0.261,116.662,0.702,0.17
3,0,101,15,101-11,2,0.251,120.649,0.676,0.192
3,0,97,0,97-7,1,0.198,94.205,0.689,0.163
3,0,97,0,97-7,2,0.229,87.228,0.69,0.22
3,0,97,15,97-10,1,0.224,93.595,0.682,0.211
3,0,97,15,97-10,2,0.159,90.038,0.674,0.242
3,0,97,50,97-1,1,0.259,90.289,0.715,0.174
3,0,97,50,97-1,2,0.2,103.387,0.699,0.167
3,0,97,29,97-3,1,0.255,85.982,0.68,0.191
3,0,97,29,97-3,2,0.246,89.656,0.685,0.188
3,1,97,50,97-1,1,0.273,94.223,0.688,0.23
3,1,97,15,97-10,1,0.27,97.621,0.695,0.183
3,1,97,29,97-3,1,0.253,92.692,0.662,0.251
3,1,97,0,97-7,1,0.206,88.836,0.697,0.19
3,1,101,29,101-8,1,0.21,96.419,0.699,0.189
3,1,101,50,101-10,1,0.274,93.423,0.72,0.165
3,1,101,0,101-14,1,0.25,83.676,0.694,0.184
3,1,101,15,101-11,1,0.233,78.76,0.727,0.133
3,2,97,29,97-3,1,0.191,92.297,0.707,0.289
3,2,97,15,97-10,1,0.186,89.124,0.664,0.313
3,2,97,0,97-7,1,0.174,95.774,0.644,0.342
3,2,97,50,97-1,1,0.24,107.335,0.663,0.305
3,2,101,50,101-10,1,0.194,100.141,0.659,0.305
3,2,101,29,101-8,1,0.191,83.79,0.646,0.316
3,2,101,15,101-11,1,0.252,97.669,0.69,0.272
3,2,101,0,101-14,1,0.215,94.886,0.631,0.347
3,3,97,15,97-10,1,0.241,72.66,0.686,0.126
3,3,97,0,97-7,1,0.245,74.845,0.701,0.124
3,3,97,29,97-3,1,0.247,69.752,0.691,0.182
3,3,97,50,97-1,1,0.26,77.558,0.702,0.13
3,3,101,15,101-11,1,0.269,73.332,0.694,0.193
3,3,101,0,101-14,1,0.264,74.922,0.696,0.196
3,3,101,50,101-10,1,0.262,72.381,0.69,0.212
3,3,101,29,101-8,1,0.194,66.527,0.691,0.213
3,4,97,50,97-1,1,0.257,61.803,0.684,0.284
3,4,97,29,97-3,1,0.187,54.088,0.653,0.297
3,4,97,15,97-10,1,0.234,56.663,0.632,0.264
3,4,97,0,97-7,1,0.187,56.58,0.657,0.234
3,4,101,29,101-8,1,0.215,54.014,0.577,0.322
3,4,101,50,101-10,1,0.227,60.627,0.638,0.309
3,4,101,15,101-11,1,0.183,59.301,0.653,0.3
3,4,101,0,101-14,1,0.224,58.211,0.646,0.313
4,a,60,0,60-6,1,0.245,142.946,0.679,0.289
4,a,60,0,60-6,2,0.234,131.322,0.676,0.301
4,a,50,0,50-5,1,0.255,136.498,0.695,0.229
4,a,50,0,50-5,2,0.257,148.566,0.679,0.208
4,a,60,15,60-5,1,0.24,141.476,0.684,0.303
4,a,60,15,60-5,2,0.233,128.567,0.685,0.284
4,a,60,29,60-2,1,0.243,126.866,0.68,0.328
4,a,60,29,60-2,2,0.237,118.015,0.674,0.324
4,a,60,50,60-4,1,0.238,135.561,0.677,0.312
4,a,60,50,60-4,2,0.202,139.583,0.683,0.303
4,a,50,15,50-3,1,0.243,124.475,0.689,0.187
4,a,50,15,50-3,2,0.24,116.48,0.678,0.166
4,a,50,29,50-2,1,0.201,112.854,0.678,0.171
4,a,50,29,50-2,2,0.245,99.406,0.68,0.232
4,a,50,50,50-1,1,0.252,99.127,0.716,0.167
4,a,50,50,50-1,2,0.202,86.436,0.736,0.158
4,a,50,x,50-6,1,0.232,130.346,0.629,0.225
4,a,50,x,50-6,2,0.244,130.514,0.664,0.221
4,a,60,x,60-3,1,0.18,112.101,0.515,0.3
4,a,60,x,60-3,2,0.232,119.673,0.664,0.136
4,0,50,29,50-2,1,0.195,116.788,0.674,0.254
4,0,50,29,50-2,2,0.228,104.188,0.676,0.264
4,0,50,15,50-3,1,0.239,125.896,0.676,0.249
4,0,50,15,50-3,2,0.244,115.092,0.68,0.266
4,0,50,50,50-1,1,0.259,106.503,0.685,0.192
4,0,50,50,50-1,2,0.235,98.991,0.691,0.224
4,0,50,0,50-5,1,0.259,128.679,0.694,0.221
4,0,50,0,50-5,2,0.241,126.972,0.673,0.247
4,0,60,15,60-5,1,0.229,129.093,0.664,0.318
4,0,60,15,60-5,2,0.189,127.526,0.655,0.338
4,0,60,0,60-6,1,0.192,131.979,0.668,0.326
4,0,60,0,60-6,2,0.222,124.981,0.669,0.347
4,0,60,50,60-4,1,0.232,132.723,0.677,0.321
4,0,60,50,60-4,2,0.238,134.619,0.674,0.315
4,0,60,29,60-2,1,0.215,107.696,0.662,0.363
4,0,60,29,60-2,2,0.222,108.361,0.674,0.347
4,1,50,15,50-3,1,0.253,108.165,0.708,0.228
4,1,50,0,50-5,1,0.251,107.033,0.718,0.201
4,1,50,29,50-2,1,0.246,83.731,0.691,0.225
4,1,50,50,50-1,1,0.255,113.504,0.691,0.218
4,1,60,50,60-4,1,0.236,130.11,0.668,0.307
4,1,60,15,60-5,1,0.219,121.818,0.67,0.336
4,1,60,0,60-6,1,0.23,113.708,0.69,0.294
4,1,60,29,60-2,1,0.182,102.337,0.662,0.313
4,2,50,0,50-5,1,0.196,85.122,0.73,0.16
4,2,60,0,60-6,1,0.249,118.589,0.675,0.298
4,2,50,15,50-3,1,0.209,114.788,0.708,0.204
4,2,60,15,60-5,1,0.196,133.697,0.66,0.306
4,2,60,50,60-4,1,0.24,124.692,0.678,0.34
